,case_id,summary
479,43280,"The suspect was cited for operating a quadricycle, classified as an ATV, on a public highway in Northumberland County, which is prohibited under Pennsylvania law unless the road is designated for such vehicles. The vehicle bore Montana plates and was registered to a Montana-based limited liability company. The suspect argued that a Pennsylvania statute governing registration reciprocity for nonresident-owned foreign vehicles permitted him to operate the ATV on public roads, but the courts rejected this argument, finding the registration reciprocity statute did not authorize operation of vehicle types otherwise prohibited on Pennsylvania streets and highways."
483,30281,"The defendant was tried by jury for events occurring during the night of February 23, 2022 and the early morning of February 24, 2022, and was charged with first-degree murder, kidnapping, and conspiracy, as well as weapons law violations. The jury found the defendant guilty on all charges, though the trial court later granted a directed acquittal on the weapons charges. The defendant was sentenced to 99 years for first-degree murder, 25 years for kidnapping, and 3 years for conspiracy, to run concurrently with each other but consecutively to a federal sentence he was already serving. The opinion does not provide further factual detail describing how the murder, kidnapping, or conspiracy were carried out, as it addresses only a jurisdictional issue regarding the timeliness of the appeal."
493,45034,"Police responded to a domestic disturbance call reporting that a person involved had access to a firearm and a history of mental illness; officers spoke with the suspect and his father, who had called 911 because they wanted the suspect to leave their home. After the situation calmed, the suspect's parents led an officer to the suspect's bedroom, where the officer found a rifle and two boxes of ammunition. The suspect acknowledged to the officer that the rifle belonged to him, a fact corroborated by his father's testimony that he had purchased the firearm years earlier. The suspect was subsequently charged with and convicted of having a weapon while under disability, based on evidence that he had a mental health-related legal disability and constructively possessed the firearm found in his bedroom."
495,14262,"The appellants were convicted of Hobbs Act robbery and of brandishing a firearm during that robbery in violation of 18 U.S.C. § 924(c). The opinion does not describe the specific facts of how the robbery was committed, focusing instead on the legal question of whether completed Hobbs Act robbery qualifies as a predicate crime of violence under § 924(c) following the Supreme Court's decision in United States v. Taylor. Because the opinion contains no substantive factual description of the underlying robbery or the defendants' specific conduct during it, no detailed incident summary can be provided."
500,23025,"After drinking at bars on St. Patrick's Day, the suspect drove his truck the wrong way on an interstate in Houston around 2:00 a.m. and collided head-on with another vehicle, killing one passenger and seriously injuring another. Following the crash, law enforcement obtained a warrant to draw the suspect's blood at the hospital, which later testing showed a blood alcohol concentration of 0.191. At trial, the suspect argued his intoxication was involuntary and that the blood evidence was unreliable due to a manufacturer's recall of some collection tubes, but evidence showed his specific sample was unaffected by the recall defect."
501,49943,"The defendant pled guilty in 2018 to armed robbery and other offenses in three related cases. The opinion does not provide further factual details about how the armed robbery or other offenses were committed. The case on appeal concerns only the timeliness of a later motion to vacate the convictions and sentence, which the trial court denied."
505,20241,"The victim was found dead in an alley near the studio apartment he shared with the defendant, having suffered twelve stab wounds to his face and head, including a neck wound reaching his spine. Investigators determined the defendant killed the victim on a Friday night, then left town for the weekend rather than reporting to his scheduled work shifts. Extensive blood stains were found in the shared apartment, and the defendant's DNA was found on a knotted sheet wrapping the victim's body. The defendant gave police false and shifting accounts of his whereabouts that weekend, claiming he stayed in town when bus schedules, work records, and banking transactions showed he had actually traveled to Des Moines and Marshalltown.”}eful.}]}assistant{"
512,47397,"The suspect was indicted for family violence aggravated battery for fracturing his wife's ankle, family violence aggravated assault, hindering an emergency telephone call, and criminal damage to property for damaging his wife's iPhone during an altercation. He pleaded guilty only to the criminal damage to property count in exchange for a probated sentence and the State's agreement to nolle prosequi the remaining charges. At a restitution hearing, the wife testified that the incident resulted in a broken iPhone costing $1,099.99 to replace and a broken ankle requiring $19,279.09 in medical treatment, and the trial court ultimately ordered restitution covering both the phone damage and the leg injury."
519,42748,"The suspect was charged with first-degree murder after his wife, who was paraplegic, died from a single gunshot wound to the neck while the two were alone together at his residence; he did not contact law enforcement for hours, instead texting his employer and calling his wife's brother to say she had shot herself and that he was suicidal. When authorities arrived, the suspect gave shifting accounts, eventually admitting to multiple officers that he was holding the loaded gun with his finger on the trigger when it discharged, claiming his wife pulled the gun toward her neck or bumped his arm while both had been drinking. Evidence at trial included emails showing a history of alleged prior abuse by the suspect toward his wife and a jailhouse email in which he described the shooting as an accident. The jury convicted him of the lesser offense of culpable negligence manslaughter rather than murder."
528,5200,"Police executed a search warrant targeting the suspect at his apartment for narcotics, and after handcuffing him and other occupants and confining them under guard, an officer took the suspect alone to a locked bedroom and asked what would be found that ""shouldn't be here."" The suspect responded that a gun was in the room, and after further questioning about drugs, officers searched the room and found a handgun hidden in a bag beneath a mattress on milk crates, along with numerous loose bullets of various calibers scattered in the room and in a backpack containing mail addressed to the suspect's alias. The suspect had prior convictions for drug and firearm offenses, and at the time of the search he gave officers a false name. He was subsequently charged based on constructive possession of the firearm found in the bedroom he occupied."
531,44350,"The suspect was subject to a civil protection order requiring her to stay at least 500 feet from the victim and to leave immediately if she encountered her. The suspect parked near the victim's vehicle in a hospital parking lot and, according to her own statements and social media posts, remained there after realizing the victim was present. When the victim left the parking lot, the suspect followed her vehicle through an intersection and to a traffic light, despite having other available exit routes, before eventually turning onto a side street. The victim reported the encounter to police and provided video, photos, and screenshots of the suspect's Facebook posts admitting she was at the location and had seen the victim."
544,36740,"On July 16, 2023, the suspect approached a Valero convenience store where the victim and two friends were shopping, drew a gun before even entering, and shot the victim without any preceding argument or display of weapons by the victim's group, saying ""run my shit"" beforehand. Store surveillance video confirmed an employee's account that the suspect fired first, after which the victim's friends returned fire as the suspect fled; the victim died at the scene. The suspect later claimed in a police interview that he had been robbed at gunpoint by the victim and his friends four to five hours earlier and that this justified the shooting, though his sister separately reported the same stolen items as taken from her car the day before. Investigators found that the suspect, accompanied by his sister, had purchased a firearm only about an hour before the shooting, and the murder weapon itself was never recovered.”}</br>©"
550,8537,"In April 2006, the defendant, then 14 years old, participated with other gang members in a drive-by shooting targeting rival gang members, and gunfire from his group struck and killed a bystander. After serving time on related state convictions and being released, the defendant resumed gang activities, including conspiring to distribute cocaine from 2017 into 2020. In June 2020, the defendant and other gang members approached a business with firearms and, mistaking a bystander for a rival gang member, opened fire, seriously wounding the bystander; surveillance footage captured the defendant firing a weapon during this incident, which was followed by an exchange of gunfire with police in which another gang member was killed. The defendant later participated in an online group chat checking on the condition of fellow gang members after the shooting.}"
554,17272,"The defendant is accused of leading a large-scale drug trafficking conspiracy involving methamphetamine, marijuana, cocaine, and hallucinogenic mushrooms, as well as related money laundering. Evidence presented included surveillance footage of the defendant at a stash house, seized drugs, mail addressed to him found there, messaging exchanges linking him to the scheme and describing him as directing co-conspirators, and financial tracing of cryptocurrency he controlled. Following a January 28, 2026 raid on his home and a stash house that led to the arrest of alleged co-conspirators, the government alleged he continued criminal activity, including transferring cryptocurrency funds and supplying a "
555,48318,"The defendant was charged with illegal appropriation of identity under Puerto Rico's Penal Code, entered a guilty plea, and was sentenced in February 2013 to six years of probation with a suspended sentence subject to general and special conditions. He later failed to comply with these conditions and his whereabouts became unknown, leading the trial court to revoke his probation and order his immediate incarceration to serve the six-year sentence. Separately, in 2022 a federal court in Pennsylvania sentenced him after he pleaded guilty to conspiracy to possess with intent to distribute five kilograms or more of cocaine and heroin, imposing a 75-month term of imprisonment to run consecutively to the pending Puerto Rico state charge."
558,19644,"On December 2, 2022, a residential burglary occurred in Powell, Ohio, in which a suspect broke a window to enter a home and stole various items, including a Prada purse valued at approximately $4,500. The suspect was later identified when DNA collected during a separate burglary investigation in another jurisdiction matched his DNA and connected him to the Powell burglary. The suspect subsequently admitted that he broke a window, entered the residence, placed items into a pillowcase, and fled the home after the alarm system was triggered. He also had a related burglary conviction in Indiana and additional pending burglary charges in other jurisdictions."
559,1062,"The defendant orchestrated a wire fraud scheme in which he falsely represented himself to at least ten victim-investors as a wealthy, experienced day trader and financial advisor who could guarantee significant returns by investing their money in the stock market or in a cannabis store he claimed to be opening. Rather than investing the funds he collected, he spent the money on himself, while sending victims fake updates, promissory notes, and partnership agreements to maintain the illusion of legitimate investments. When victims sought to withdraw their funds, he offered false excuses such as bank problems or transfer limits, and in some instances became hostile and threatened victims, including threatening to have someone kill a victim-investor. He ultimately pleaded guilty to one count of wire fraud, and at sentencing admitted that he had lied to and taken advantage of people's trust."
561,43189,"The defendant, the maternal grandfather of the sixteen-year-old victim, was left alone with her while watching television on a couch; she fell asleep with a puppy in her lap and awoke feeling him touching her vagina over her clothing. When she told him to stop, he moved to the opposite end of the couch, asked if he could ""do it again,"" and asked her not to tell her mother. The victim did not report the incident for approximately three months, out of fear and shame, until she confided in a friend who encouraged her to tell her mother, after which they reported the incident to police, leading to his arrest.}"
562,4590,"Police responding to a home found evidence of illegal drug use, including a fatal overdose on the premises, marijuana, drug paraphernalia including a still-smoking bong, and traces of THC in household trash, with minor children present during some of these incidents. An adult resident admitted that adults regularly smoked marijuana in the home and only sometimes sent children out of the room while doing so. Based on this evidence of possible child endangerment, a detective and other officers went to the home days later and removed the children for forensic interviews without a warrant, over the parents' objections, though the children were returned home after questioning. No drugs or paraphernalia were observed at the time of the removal itself, but officers relied on their prior knowledge of the drug activity and overdose death in forming suspicion of child abuse."
563,13806,"After the suspect began suffering an apparent mental-health crisis marked by delusional beliefs, erratic behavior, and increasing THC use, he struck his wife, damaged property, and eventually engaged in bizarre public conduct that led his wife to call police and report he might be dangerous and armed. When officers tried to stop him, he fled into his home, barricaded himself for hours while armed with a revolver, made statements interpreted as threats toward his wife and children, and later left the home still carrying a gun. During a subsequent traffic stop to take him for a mental-health evaluation, the suspect struggled with a companion over the gun, exited the vehicle, ignored police commands, and was subdued using a police dog and a takedown maneuver; he then brandished the revolver as officers regained control, prompting several officers to shoot and kill him."
565,46771,"The appellant was indicted for theft of property valued less than $2,500, with the charge enhanced due to prior convictions. The opinion does not provide further factual detail about how the alleged theft was committed. The remainder of the opinion addresses procedural issues concerning a competency evaluation and the appellate court's jurisdiction, rather than the underlying criminal conduct."
573,315,"This case involves a mother whose parental rights to her son were terminated after the Department of Family and Protective Services opened a case citing concerns about her drug use, mental health, and housing stability. The mother largely failed to comply with court-ordered drug testing, completing only 9 of 68 requested tests, with several returning positive for methamphetamine, amphetamines, and marijuana; caseworkers also suspected she tampered with hair-follicle testing by altering her hair. During the case she was arrested twice, once for theft and once for driving with an invalid license, and she was inconsistently reachable by caseworkers, repeatedly offering excuses for missed contacts and failing to secure stable housing or provide proof of employment. The child had been removed from her care after she failed to drug test and was placed with a paternal relative, where he thrived, while the mother continued to have positive visits with him but did not complete required services under her plan."
575,18315,"The State indicted the defendant multiple times over roughly three years for sexual offenses against a child, alleging acts occurring between 2020 and 2021, with the underlying accusations stemming from a single Child Advocacy Center interview of the complainant. The prosecution repeatedly dismissed and re-filed indictments—citing issues such as witness credibility, the need to interview witnesses in Arkansas, and a mid-trial need to reassess the timeline of alleged abuse—without ever developing new evidence beyond what had already been gathered. The defendant remained incarcerated for extended periods due to inability to make bond, was extradited to Arkansas on related allegations that were later dismissed, and consistently announced readiness for trial each time a trial date was set. The case centers on the prosecution's conduct in repeatedly delaying trial rather than on disputed facts about the alleged abuse itself."
580,26013,"The defendant pled guilty to the second-degree felony offense of possession of a controlled substance, methamphetamine, in an amount of four grams or more but less than 200 grams. No evidence was presented at the plea proceeding, and after closing arguments the trial court accepted the guilty plea and assessed a sentence of twenty-seven years' imprisonment. The opinion does not describe the specific circumstances of how the offense was committed or how the defendant was apprehended."
581,25323,"The defendant was convicted of aggravated sexual assault of a child involving his younger half-sister, who testified that he sexually abused her over several years, from when she was about eight to twelve years old, roughly between 2006 and 2011. She reported the abuse to police years later, when she was 20 or 21 years old and no longer had any relationship with the defendant. The opinion does not provide additional details describing the specific manner in which the abuse was carried out, as the appeal focused primarily on jury selection and court cost issues rather than the facts of the offense itself."
582,29328,"The defendant was observed driving on the H-1 freeway, where an officer using a speed laser device measured his speed at 96 miles per hour in a 55 mile-per-hour zone. He was subsequently charged with and convicted of Excessive Speeding. At trial, the defendant testified that he was speeding in an attempt to reach a hospital to sing to someone who was about to be taken off life support, and the court referenced his dangerous driving in convicting him."
588,14128,"During a traffic stop for driving without a front license plate and failing to signal, officers identified the driver, who had gang-affiliated face tattoos, and learned he lacked identification and a driver's license. Shortly after the stop began, a known associate with a violent history and gang ties drove past, parked nearby, and called the driver's phone, prompting officers to call for backup. While one officer prepared to fingerprint the driver to confirm his identity, another officer conducted a protective sweep of the car and found a loaded handgun under the driver's seat and ammunition in the center console. The driver was subsequently charged with unlawful possession of a firearm and ammunition as a felon."
589,22923,"A detective's affidavit alleged that seven months earlier, a video depicting child sexual abuse material had been uploaded to a Dropbox account linked to the defendant, which was reported by Dropbox to a national tracking organization and traced to an IP address associated with the defendant's residence. Based on this single, months-old tip, law enforcement obtained and executed a warrant to seize electronic devices from the defendant's home, during which the defendant stated he viewed ""animal stuff"" and videos labeled ""petite"" while denying he sought content depicting children; he initially consented to a device search, which revealed files containing child sexual abuse material and material depicting sexual assault of an animal, before he revoked consent. The court found the underlying tip stale and the affidavit insufficient to establish that the defendant was a collector or persistent possessor of such material, concluding the search warrant lacked probable cause."
592,38046,"The suspect, 38 years old, initiated an online conversation with an undercover investigator posing as a 15-year-old girl, initially misrepresenting his own age as 35 and later as 30, while believing he was communicating with an actual minor. Over roughly five months, he repeatedly asked her to have sex, described sexual acts he wanted to perform, sent multiple photos of his erect penis, and confided a longstanding fantasy about having sex with an underage girl. He arranged to meet her by purchasing alcohol and booking a hotel room, and when he arrived at the agreed meeting location he was taken into custody by law enforcement, who found a large quantity of alcohol and an overnight bag containing condoms in his vehicle.'"
595,5559,"Petitioner is a state inmate serving a sentence for unlawful contact with a minor, statutory sexual assault, interference with the custody of a child, and corruption of a minor, stemming from what he describes as his ""marriage"" to a minor. He was required, as a designated sex offender, to participate in a sex offender treatment program (SOTP) as a prerequisite for parole eligibility, but he was removed from the program three separate times because he refused to admit guilt, maintaining instead that his conduct was not criminal. He also alleged that his sentencing sheet incorrectly listed him as convicted of involuntary deviate sexual intercourse by forcible compulsion, a charge on which he claims he was actually acquitted at trial. His petition further raised numerous claims about prison mail handling, access to courts, and other conditions arising from his incarceration for these offenses."
596,9293,"On July 10, 2018, a police officer observed an unarmed homeless man receiving money from a driver on the side of an Atlanta roadway, apparently for panhandling, and approached to confront him. The man fled on foot along the highway shoulder, ignoring the officer's orders to stop, crossed a guardrail, and headed toward a steep, brush-covered embankment above a highway. Without giving a verbal warning, the officer deployed his taser, striking the fleeing man in the back, causing him to fall roughly 24 feet down the 30-40 degree slope and strike his head on a concrete utility platform, resulting in traumatic brain injury and quadriplegia. The officer's body camera did not record the incident because it was in a non-recording buffering mode, and he later cited the injured man for pedestrian solicitation and obstruction while the man remained hospitalized in critical condition."
606,51108,"DHR filed a dependency petition after Adult Protective Services responded to a motel room where seven people, including the mother, her three children (including the 14-year-old subject child), and an infant grandchild, were all sleeping on a single bed. The mother's 19-year-old son was found unresponsive with dangerously low blood sugar, appearing malnourished, with unexplained marks possibly from abuse, and was hospitalized for neglect and pneumonia. The mother, who is cognitively delayed, had recently relocated from Florida to Alabama and had a prior history with Florida's child welfare agency, with DHR suggesting she may have been attempting to avoid an ongoing Florida investigation. The subject child was not enrolled in school, appeared to be cognitively delayed, and was found to be dependent based on evidence that the mother lacked the protective capacity to care for her."
611,6463,"After being evicted from a residence, the suspect made repeated visits seeking a package he believed was mailed there, becoming visibly angry when told it had not arrived. On the day of the incident, he entered the locked residence without permission while the sole occupant was home, walked into her bedroom, and demanded she return his belongings. When she refused and hid behind the bed, he advanced toward her before fleeing after being chased by a dog. He later gave police a false account of his whereabouts during the incident, and was subsequently arrested and convicted of second-degree burglary based on evidence he entered with intent to commit an assault."
613,10457,"The defendant pled guilty to three counts of Hobbs Act robbery affecting commerce and one count of discharging a firearm in connection with a crime of violence, and he stipulated to having committed four additional robberies and to possessing a firearm as a felon. The appeal itself concerned only a challenged condition of supervised release requiring him to notify third parties of any risk he poses as determined by a probation officer, not the underlying facts of the robberies or firearm offense. The opinion does not provide further detail about how the robberies or firearm offense were carried out or the specific circumstances of his apprehension."
616,17466,"The defendant was found guilty of raping and kidnapping his girlfriend's 18-year-old daughter and was sentenced to seven years in prison. The opinion, addressing a successive postconviction petition, does not describe the specific facts or conduct underlying the rape and kidnapping offense beyond identifying the victim as the defendant's girlfriend's daughter. The bulk of the opinion instead concerns the defendant's post-trial challenges regarding cell phone data extraction and body-camera footage, which the court found he was aware of at the time of trial and was not unavoidably prevented from discovering."
622,12466,"In June 2022, Missouri state police linked the defendant to an IP address that was sharing videos of child pornography on a peer-to-peer file sharing program. Officers executed a search warrant at the defendant's residence and seized electronic devices, including a laptop, cell phones, a tablet, and USB drives, on which forensic analysis revealed numerous images of child pornography. The defendant pled guilty to possession of child pornography. The defendant also had a prior 2007 Missouri conviction for abuse of a child, based on his having recorded two nude minor children for the purpose of sexual gratification."
623,19222,"During a nighttime traffic stop for a vehicle crossing the center line, an officer asked the passenger for identification; the suspect had none but verbally gave a false name and date of birth, which could not be verified. When confronted about the false information, the suspect fled the vehicle on foot, was chased and eventually detained and handcuffed by officers, resisting being placed in the patrol car. While being transported, the suspect kicked and headbutted the interior of the patrol vehicle so violently that it caused the car to swerve, cracked plastic window guards, bowed the rear door, and caused his own head to bleed, resulting in damage requiring the vehicle to be taken out of service for repairs."
629,46909,"The defendant was convicted of raping and sexually assaulting his twelve-year-old stepdaughter, with both offenses committed in the presence of a child. During trial, evidence was presented regarding the victim's mental-health history, including alleged inconsistencies in her interviews and a history of hallucinations, which the defense sought to use to challenge her credibility. The defendant testified at trial and denied all allegations against him, also disputing claims about the children's living conditions and recounting an incident in which he made the victim's brother perform pushups while unaware the brother's wrist was broken.The victim's brother later testified as a rebuttal witness, confirming he had a broken wrist in a cast at the time the defendant made him do pushups as punishment for fighting with his sibling."
638,82,"The defendant pled guilty to Murder in the Second Degree and Possession of a Firearm During the Commission of a Felony, admitting to the facts underlying these charges. The court sentenced him to 30 years at Level V, suspended after 22 years, for the murder charge, and the mandatory minimum of three years for the firearm offense, resulting in 25 years of unsuspended Level V time. The opinion does not provide further details about the specific circumstances of the murder or the defendant's actions during the offense beyond the guilty plea and resulting convictions."
643,47972,"The defendant, involved in a drug-related dispute with a former roommate over missing money and property, sent threatening text messages and provided his girlfriend's family's address after the victim sought to recover his belongings. When the victim and two companions arrived at that address to retrieve the property, the defendant and his girlfriend's relatives displayed firearms and threatened to shoot anyone who came near, and the defendant then took a revolver from inside the house and fired multiple rounds out a window toward the victim and his companions in the yard and across the street. During the shooting he shouted that he was ""from Chicago"" and that it was ""for real,"" and afterward he joined his codefendants in falsely telling police that the visitors had fired first. Two of the three visitors were struck and seriously injured by gunfire from the house, though the defendant's own shots did not strike anyone."
646,23917,"The respondent had a lengthy history of CPS investigations involving domestic violence and substance abuse, including testing positive for drugs at the birth of one child and having three prior drug possession convictions, and she repeatedly refused drug screens and failed to cooperate with services. In April 2025, her eight-year-old child reported that the respondent and her boyfriend frequently fought physically, the home lacked running water, and the child would hide with her younger sibling during altercations; respondent was later arrested on drug distribution charges. On August 29, 2025, respondent allegedly repeatedly struck her boyfriend in the face, head, and torso while he was holding one of the children, then fled before police arrived, prompting an anticipated arrest warrant. This incident led to an amended petition seeking removal of the children from her care."
650,46768,"In October 2019, an altercation occurred at a shared family residence when the suspect and his sister began arguing over a video game console, and the argument escalated when the suspect grabbed his sister by the throat. The sister's husband intervened by pulling the suspect away and restraining him on the floor, but after the husband released him, the suspect charged at him, knocked him to the ground, and placed his forearm across the husband's throat in a chokehold that caused pain and fear, only releasing him after their mother intervened and persuaded him to stop. Police were called and the suspect was arrested; he later continued exhibiting hostile behavior toward the husband and sister after returning to live in the same household. Although the suspect claimed his actions were defensive and was later acquitted of criminal assault charges related to the incident, a civil protective order was subsequently sought and granted based on findings that family violence had occurred."
653,52617,"This is a juvenile/family court termination of parental rights proceeding, not a criminal prosecution, though it references the father's prior domestic abuse assault charge and conviction involving the child's mother, which resulted in a no-contact order naming the mother and child as protected parties. The father violated this no-contact order several times during the proceedings. He also admitted a history of methamphetamine use and had a incident where he became belligerent and threatened to kill himself in the child's presence during a supervised visit, causing the visit to end early."
657,11458,"The defendant pleaded guilty in 2014 to Hobbs Act robbery and to brandishing a firearm during and in relation to that robbery. The opinion does not describe further details of how the robbery was committed. After completing his prison term and beginning supervised release in 2024, the defendant repeatedly violated release conditions, including testing positive for illegal drugs on six occasions, being arrested for reckless and impaired driving, violating location monitoring restrictions, removing his ankle monitor, and leaving the judicial district without permission."
662,39279,"On March 6, 2020, a man was found shot to death in a hotel room he had checked into that morning, and his phone showed he had arranged to meet a woman for a paid sexual encounter via text messages the night before. Investigators traced the phone number involved through cellular records to another number linked to a man who identified an escort named "
669,53034,"The suspect arrived at the victim's family residence during his scheduled possession time with their children, honked and flashed her headlights, then left and called law enforcement before returning and banging on the front door until the glass cracked. When the victim opened the door to prevent further damage, the suspect pushed him, struck him with her elbow, threw items including a clay lawn decoration that caused him to bleed, and attempted to physically attack his sister while the children were upstairs in the home. This incident, which occurred in November 2022, resulted in a pending criminal charge against the suspect for assault causing bodily injury to a family member. The victim's sister called 911 and law enforcement responded to the scene.'"
674,21178,"In October 2022, the suspect broke into the home of Paul Pelosi through a glass door, carrying a hammer and zip ties, and confronted Pelosi while asking about the whereabouts of Nancy Pelosi, stating he intended to hold her hostage and ""take out"" corrupt politicians. When police arrived and told the suspect to drop the hammer, he instead wrenched it away from Pelosi and struck him in the head, causing skull fractures, lacerations, and a concussion; officers immediately tackled him. The suspect later admitted to police and hospital interviewers that he had planned the attack, intended to interrogate and potentially harm Nancy Pelosi, and acknowledged striking Pelosi with ""full force,"" saying ""There's no denying what I did."" He was subsequently convicted in federal court of assault and attempted kidnapping charges arising from this incident, while California pursued additional state charges including attempted murder, elder abuse, and assault with a deadly weapon based on the same conduct."
681,53938,"The defendant is serving a 111-year sentence for first-degree murder and a violation of the Weapons Law. In denying parole, the Parole Board characterized the underlying offense as a crime of extreme violence, finding that it demonstrated a grave disregard for human life. The opinion does not provide further details describing how the murder or weapons violation was committed."
686,8068,"A vehicle stop in Crawford County led to discovery of methamphetamine hidden inside a loose speaker, and the suspect claimed he had found the speaker on the side of the road; a subsequent search of his apartment uncovered a nearly identical speaker, additional methamphetamine, and a digital scale. A search of the suspect's cellphone revealed text message conversations discussing drug sales, including references to pricing needed to ensure a profit. Evidence indicated the suspect's home served as the base of a drug trafficking operation, with him bringing drugs into the county and selling them to multiple people over time.  He was ultimately convicted by a jury of multiple counts of aggravated trafficking in drugs and one count of illegal manufacture of drugs."
688,33392,"The defendant was indicted for stabbing his cousin to death in April 2001; according to the State's factual proffer, during an argument at the victim's brother's apartment, the defendant produced a large knife and stabbed the victim in the abdomen, then fled, and the victim died the next day. When detectives went to the defendant's home the next day, he stated ""you got me,"" and knives were recovered from his apartment, including one he acknowledged using, which was later confirmed via DNA to have the victim's blood on it; he was also identified in a lineup by three eyewitnesses. Prior to pleading guilty, the defendant had unsuccessfully moved to suppress his statements, alleging that Area 2 detectives physically beat him to obtain a statement and his consent to search, though the trial court found his statements voluntary. The defendant ultimately pleaded guilty to first-degree murder in exchange for a 25-year sentence."
689,2411,"Police responded to a 911 call from the suspect's girlfriend reporting that he had kicked and cracked her windshield while intoxicated; upon stopping the vehicle, she told officers the suspect was drunk and armed with a firearm. When an officer attempted a pat-down, the suspect fled on foot through downtown, and while running he pulled a loaded handgun from his waistband and threw it to the ground, where officers recovered it about eleven seconds later on a nearby driveway. He was subsequently apprehended by another officer after running into a fenced area. He later pled guilty to being a felon in possession of a firearm, and the case concerned whether discarding the loaded gun while fleeing warranted a sentencing enhancement for recklessly creating a substantial risk of harm to others."
691,23473,"The defendant was indicted for the second-degree felony of sexual assault of a child. He pleaded guilty and was placed on seven years' deferred-adjudication community supervision. About two months later, the State petitioned to proceed to adjudication, and the defendant pleaded true to the allegation in that petition, resulting in a finding of guilt and a seven-year prison sentence.The opinion does not provide further factual details about how the underlying sexual assault offense was committed."
692,47732,"On August 29, 2014, while the victim was cleaning his car outside a rented home, an unknown assailant grabbed the chain around his neck and demanded he hand it over. When the victim refused to comply, the assailant shot him once in the shoulder, and the two men then engaged in a physical struggle during which the assailant shot the victim three more times. The assailant was not identified or apprehended in connection with the civil proceedings that followed. The case centered on a subsequent civil lawsuit against the property owner for failing to warn of foreseeable criminal activity in the area, rather than on the identity or prosecution of the assailant."
702,43409,"In February 2024, the plaintiff was arrested and charged with driving under the influence and related offenses in Harford County, Maryland. At the time of his arrest, he refused to submit to chemical testing, which resulted in an administrative finding against him that was forwarded to his home jurisdiction, the District of Columbia. He later stood trial on the criminal charges in Maryland state court in June 2024 and was found not guilty."
703,1364,"The suspect was recorded on video pointing a replica firearm at two parked, unoccupied police vehicles while driving past them, apparently while filming content to share with his YouTube followers. The video was viewed by a Florida sheriff's crime analyst, forwarded to Euclid police the same day, and officers identified and arrested the suspect later that day. He was subsequently charged with inducing panic and possessing a replica firearm, and pled guilty to the replica firearm charge while the inducing panic charge was dismissed."
715,5387,"Following a physical altercation in which the victim punched the suspect at a convenience store, the suspect and a co-defendant left together in a red Jeep Cherokee, with the suspect driving. The suspect then struck the victim from behind with the vehicle in a nearby parking lot, and as the victim tried to stand up, the co-defendant, seated as a passenger, shot the victim in the neck, killing him. Surveillance video showed the two men arriving and leaving the store together and captured the vehicle striking the victim and the shooting; physical evidence including the co-defendant's shirt and a spent shell casing were found on or in the vehicle. A jury found the suspect guilty of murder and felonious assault based on evidence that he conspired with and aided the shooter."
721,1069,"A woman was found dead in her locked apartment bedroom the morning after spending the evening drinking at a bar, where she had been drinking heavily, kissed and danced with the suspect, and left with him by cab to her apartment. The suspect admitted to having consensual vaginal and anal sex with her before leaving her alone and uninjured, and an autopsy concluded her death was a homicide caused by a brain hemorrhage, though conflicting forensic opinions suggested the injury could have resulted from an accidental fall or occurred outside the apartment. The suspect was not indicted until nineteen years after the death, based largely on a DNA match confirming the sexual contact he had already disclosed to police, with no new substantive evidence developed during the intervening years. The case was dismissed for pre-indictment delay after the court found the suspect was prejudiced by the deaths and unavailability of key witnesses and experts who could have supported his defense theories."
724,27346,"The defendant was convicted of sexual assault of a child under Texas Penal Code Section 22.011(a)(2). The opinion does not provide any factual details about the underlying offense, such as how the assault was carried out or the circumstances leading to the defendant's identification or apprehension. The appeal itself was dismissed for lack of jurisdiction because the notice of appeal was untimely filed."
725,10876,"The victim was fatally shot in a motel room after arriving there with the suspect, an associate, and two unidentified men who had traveled together in a stolen car; surveillance footage showed the suspect unlocking the room door for the group. About 30 minutes later the victim ran from the room and collapsed, dying from gunshot wounds, after which the suspect and the other three men fled the room with their faces covered and left together in the same stolen vehicle. Police later arrested the suspect near the stolen car at a different motel, where he had rented a room under an assumed name; that room contained the gun that fired the shell casing found in the victim's room, the victim's debit card, clothing matching what the suspect wore in the surveillance footage, and other items linked to the crime. Cell phone records showed extensive contact between the suspect's phone and his associate's phone before, shortly after, and hours following the murder, indicating the two remained together during that period."
726,49389,"In 2019, a trial court found that the suspect had been stalking the victim and issued a lifetime protective order against him under Code of Criminal Procedure Chapter 7B. Beginning in 2022, the suspect, who was the subject of the order, repeatedly filed motions in the trial court seeking to have the order rescinded or its duration shortened, arguing there was no continuing need for it. The opinion focuses on the suspect's legal efforts to end the protective order rather than describing additional details of the underlying stalking conduct itself.'"
729,27350,"The children were removed after a report that they had been left alone for an extended period and, when the father returned, he was intoxicated; he was later arrested and convicted for abandonment/child endangerment based on this incident. There was also a referral for domestic violence in the home, and the father had a history of intimate partner violence with the mother, including violating a protective order in October 2024 (stemming from a 2022 altercation), for which he was convicted of a felony and was incarcerated at the time of trial. The father denied leaving the children alone or being intoxicated and denied physical violence with the mother, but admitted to the abandonment conviction and the protective order violation conviction. During his roughly one year of incarceration, he had no contact with the children and provided no support for their care."
